,state,account length,area code,international plan,voice mail plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl calls,total intl charge,customer service calls,churn
833,IN,100,510,0,0,0,107,36.75,84,18.33,127,6.23,3,2.75,0,0
834,FL,104,415,0,0,0,116,12.99,74,9.83,94,10.18,3,2.54,3,0
835,GA,27,510,0,0,0,75,12.36,117,17.73,71,2.96,3,2.67,1,0
836,IL,81,415,0,1,31,100,35.77,97,19.17,120,7.59,4,2.62,0,0
837,NC,64,510,1,1,33,93,21.62,104,13.85,109,11.13,13,2.19,0,0
838,VT,107,510,0,1,28,79,34.31,128,25.92,133,10.15,8,3.21,1,0
839,DC,88,415,0,1,17,78,37.32,94,18.88,92,8.47,5,4.35,1,0
840,VT,111,408,0,0,0,112,16.88,136,22.99,94,10.14,6,2.43,3,0
841,NV,77,415,0,0,0,114,40.66,115,12.75,81,7.24,2,2.78,5,0
842,OR,67,415,1,0,0,58,20.55,88,19.98,130,4.28,11,3.08,2,0
843,AL,102,408,0,0,0,81,38.2,112,11.0,109,7.54,6,4.27,1,0
844,ND,146,408,0,1,19,88,30.02,66,13.83,98,9.7,6,3.94,1,0
845,FL,144,415,0,1,51,98,48.26,109,16.32,85,8.83,4,2.7,1,0
846,NE,96,415,0,0,0,92,30.7,114,16.23,125,13.3,4,2.78,1,1
847,ND,70,415,0,1,31,101,21.4,102,16.69,75,11.37,4,2.78,1,0
848,ME,149,408,0,0,0,79,40.39,107,16.35,111,9.33,9,2.46,0,0
849,IL,129,415,0,0,0,91,33.73,106,22.5,101,5.01,2,2.48,2,0
850,WA,166,408,0,0,0,110,46.63,109,4.5,119,11.07,5,2.94,0,0
851,MA,136,408,1,0,0,89,33.93,96,17.97,84,3.26,4,2.97,3,1
852,KS,149,510,0,0,0,91,37.01,74,23.25,99,10.21,3,2.59,3,0
853,RI,70,415,0,0,0,96,22.9,90,20.05,113,11.71,6,2.05,3,0
854,MO,120,415,0,1,24,73,36.16,103,21.89,119,10.25,13,2.62,2,0
855,IA,66,510,0,0,0,135,43.57,106,15.32,135,8.43,7,1.67,2,0
856,WY,104,408,0,0,0,133,31.21,98,10.26,112,9.68,2,3.43,1,0
857,NV,160,415,0,0,0,90,29.95,115,16.66,95,11.88,4,2.48,1,0
858,WI,129,415,0,1,37,94,34.85,103,14.06,81,8.32,8,3.16,1,0
859,AL,93,408,0,0,0,114,45.54,74,18.96,90,11.82,3,3.05,3,1
860,HI,169,415,0,0,0,111,30.46,130,14.89,92,10.29,6,2.67,2,0
861,MO,58,415,0,0,0,145,25.4,105,16.7,108,9.43,3,4.02,1,0
862,CA,75,510,0,1,38,132,27.81,113,12.47,115,15.56,3,3.54,3,0
863,MO,45,408,0,0,0,71,35.29,94,12.98,125,9.8,13,3.35,1,0
864,CT,155,510,0,0,0,108,28.12,103,15.61,108,3.61,4,2.4,3,0
865,MD,52,415,0,0,0,114,35.67,82,14.56,119,6.96,9,2.67,4,0
866,OH,119,415,0,1,27,128,37.42,133,22.8,80,6.59,3,3.0,0,0
867,NV,86,510,0,0,0,72,24.02,95,13.12,91,9.48,5,2.21,1,0
868,MD,42,408,0,0,0,89,33.41,123,20.51,105,6.44,7,1.08,0,0
869,NE,127,510,1,0,0,114,30.75,118,17.81,105,11.25,4,2.0,2,0
870,OH,123,408,0,0,0,150,17.85,90,21.39,93,11.61,5,4.02,0,0
871,MA,98,510,0,0,0,119,46.14,102,16.18,118,12.81,6,3.0,4,1
872,OK,149,510,0,1,43,79,35.14,122,14.84,80,10.87,3,2.94,1,0
873,MA,160,408,0,0,0,109,28.36,117,20.06,77,13.84,1,2.51,1,0
874,WA,103,415,0,0,0,107,34.83,102,11.49,106,9.37,3,2.81,5,0
875,HI,132,415,0,1,15,128,26.28,106,20.88,90,6.69,4,2.46,1,0
876,CO,137,415,0,0,0,107,21.59,75,27.47,127,6.48,2,2.03,1,0
877,FL,129,415,1,0,0,78,45.46,85,17.36,146,5.03,4,1.59,1,0
878,WI,62,415,0,0,0,66,47.77,108,13.65,74,3.51,0,0.0,1,0
879,ID,122,510,0,1,33,96,46.04,110,18.73,104,7.65,8,3.19,4,0
880,WY,32,408,0,0,0,82,29.1,102,15.78,64,9.15,7,2.75,1,0
881,GA,86,510,0,0,0,82,21.1,120,17.22,119,13.03,8,1.81,3,0
882,FL,130,415,0,0,0,113,27.68,111,24.68,140,5.17,3,1.94,1,0
883,WY,42,408,0,0,0,84,24.87,113,21.75,117,2.03,12,2.16,1,0
884,DE,73,415,0,0,0,85,43.32,80,12.19,102,6.93,7,4.05,2,0
885,ME,66,408,0,1,26,108,43.33,135,20.67,95,8.59,3,1.46,2,0
886,DC,103,510,0,1,31,124,18.31,104,16.06,98,8.83,3,2.4,0,0
887,IA,128,408,0,0,0,75,27.0,91,22.51,77,12.15,7,2.05,1,0
888,CO,104,415,0,0,0,113,31.09,85,20.37,104,10.34,4,1.49,2,0
889,MN,103,415,0,0,0,112,33.75,90,3.61,124,8.06,5,3.35,0,0
890,VT,124,415,0,0,0,72,30.33,134,19.86,91,8.07,2,3.24,0,0
891,AZ,87,510,0,0,0,91,18.85,115,13.47,131,9.34,5,1.67,1,0
892,LA,109,415,0,1,27,85,28.37,92,18.8,97,8.88,4,3.32,1,1
893,MO,167,415,1,0,0,91,41.62,105,5.17,110,7.95,3,2.89,2,0
894,ME,97,510,0,0,0,96,20.54,101,14.43,63,8.73,3,3.21,4,1
895,MD,106,415,0,0,0,118,28.1,101,17.85,93,8.42,3,2.3,2,0
896,VT,125,415,0,0,0,113,21.54,131,13.22,112,9.28,7,3.89,2,0
897,DC,108,408,0,1,35,106,36.7,107,17.05,107,8.79,7,4.19,0,0
898,WY,125,415,0,0,0,132,23.82,126,17.82,77,11.88,2,2.16,1,0
899,VA,89,415,0,1,32,113,35.68,104,21.23,92,10.09,7,2.35,1,0
900,VA,72,510,1,1,29,114,23.77,91,11.75,88,9.95,6,1.49,0,0
901,CT,23,510,0,0,0,107,54.67,115,21.39,158,6.35,3,3.05,2,1
902,HI,149,510,0,0,0,61,28.32,107,18.6,131,9.37,6,2.21,7,0
903,WI,73,415,0,0,0,90,36.41,78,16.73,112,7.11,8,1.59,0,0
904,MD,61,415,0,0,0,123,44.2,127,17.89,70,10.56,3,2.43,1,1
905,WV,161,415,0,0,0,113,32.62,87,6.03,107,9.22,4,3.62,4,1
906,VT,73,408,0,0,0,95,36.21,104,16.05,89,6.13,3,3.65,0,0
907,UT,118,415,0,1,24,83,20.08,72,9.32,73,11.05,2,4.56,1,0
908,CO,23,408,0,0,0,89,32.33,108,14.14,73,9.89,4,4.05,6,0
909,NC,127,415,0,1,25,95,13.97,109,13.88,104,11.92,6,1.38,0,0
910,NJ,42,415,0,1,32,80,27.85,123,15.11,106,8.57,5,2.19,0,0
911,AR,118,415,0,0,0,145,45.53,121,26.89,91,9.39,11,3.89,5,1
912,IA,45,510,0,0,0,91,27.17,86,10.23,93,7.34,3,2.86,2,0
913,GA,50,408,0,1,24,129,36.43,55,24.63,130,14.06,4,2.86,1,0
914,MO,179,510,0,0,0,123,48.84,114,24.48,112,11.97,4,2.84,0,1
915,MO,152,408,0,0,0,122,17.2,87,12.04,124,8.93,3,2.03,2,0
916,WY,105,415,0,0,0,74,17.48,125,23.94,113,10.26,5,3.56,2,0
917,HI,72,415,0,0,0,97,18.55,96,9.83,84,13.31,6,2.24,0,0
918,PA,52,408,0,0,0,67,36.7,108,18.45,130,15.43,2,1.4,1,0
919,TX,125,415,0,0,0,110,34.58,97,10.94,113,8.57,4,2.97,1,0
920,VA,143,510,0,0,0,113,18.72,59,14.37,94,7.5,2,2.48,1,0
921,RI,65,415,0,0,0,51,18.87,84,18.68,89,9.09,14,1.19,1,0
922,WI,80,415,0,0,0,121,40.78,51,12.1,106,16.39,5,2.51,1,0
923,MS,1,415,0,0,0,107,24.62,66,9.56,79,9.84,3,3.73,1,0
924,KY,60,408,0,0,0,134,23.02,85,17.5,103,9.18,4,2.13,1,0
925,NC,43,415,0,0,0,134,14.31,103,6.87,79,8.82,2,2.92,1,0
926,NV,143,415,0,0,0,127,35.55,80,9.02,90,8.08,6,3.78,0,0
927,UT,81,415,0,1,24,117,22.12,61,16.66,123,6.27,5,3.08,0,0
928,ME,205,510,0,1,24,139,29.89,98,13.18,64,8.13,5,2.11,2,0
929,HI,24,415,0,0,0,104,41.12,112,12.34,105,9.65,5,1.78,1,0
930,OH,74,415,0,0,0,106,23.24,105,19.43,114,11.94,4,2.65,0,0
931,WV,77,510,0,0,0,68,11.51,86,16.63,137,10.64,2,3.24,1,0
932,OK,74,415,0,0,0,87,34.07,105,26.28,118,6.84,2,2.7,1,0
933,KY,74,510,1,0,0,103,21.39,96,17.65,143,9.33,4,3.81,1,1
934,AL,200,408,0,0,0,87,21.79,105,11.32,123,7.99,2,3.02,1,0
935,MD,86,408,0,0,0,88,38.47,107,18.96,92,11.5,3,3.51,4,0
936,NE,91,510,0,1,37,107,27.59,115,19.88,94,12.48,4,2.48,0,0
937,DC,76,415,0,0,0,121,38.15,97,12.57,74,8.27,2,1.81,2,0
938,TX,130,415,0,0,0,127,20.49,52,16.12,107,12.15,2,3.86,1,0
939,OH,56,408,0,0,0,90,15.49,115,15.24,89,13.53,8,3.21,2,0
940,DE,117,415,0,0,0,137,28.7,107,20.52,106,9.22,4,4.19,0,0
941,IA,63,510,0,0,0,81,26.1,115,24.42,85,10.36,5,1.76,2,0
942,VT,126,415,0,0,0,88,38.45,114,11.93,110,9.4,2,1.73,0,0
943,OR,132,510,0,0,0,107,32.62,127,17.59,88,12.24,2,3.4,1,0
944,NV,81,415,0,1,28,147,28.54,105,16.21,103,8.69,6,2.48,4,1
945,NC,122,415,0,0,0,88,30.6,77,12.33,120,10.52,6,3.11,2,0
946,NJ,46,408,0,0,0,67,43.76,91,22.19,107,9.2,5,3.62,2,1
947,MN,150,415,0,1,28,75,29.65,80,14.44,130,9.07,4,2.97,1,0
948,ID,99,408,0,0,0,83,27.15,121,13.21,114,11.51,3,2.27,1,0
949,AL,87,408,0,0,0,124,40.32,87,18.92,81,7.8,3,2.97,1,0
950,AK,108,415,0,0,0,129,17.51,103,20.6,89,7.66,3,2.13,1,0
951,VT,101,415,0,0,0,89,26.15,89,19.89,77,8.83,2,3.13,4,0
952,PA,53,415,0,0,0,86,34.87,95,13.64,142,6.73,2,2.89,3,0
953,AK,132,415,0,1,39,93,29.87,94,15.91,118,10.15,3,2.32,2,0
954,CA,158,510,0,0,0,123,26.5,112,19.06,116,9.95,8,2.32,2,0
955,MS,114,415,0,1,34,109,26.25,142,18.82,103,9.38,5,2.78,0,0
956,AR,77,415,0,1,23,73,35.65,63,15.61,111,9.25,3,1.92,2,0
957,NV,144,415,1,0,0,69,25.5,73,24.3,121,8.58,15,2.54,0,0
958,AL,91,510,0,1,23,97,39.51,88,15.81,128,8.57,3,3.32,3,0
959,GA,58,408,0,0,0,100,28.12,87,9.83,118,8.72,5,3.46,2,0
960,AR,5,415,0,0,0,106,33.86,12,15.92,85,9.63,3,3.59,3,0
961,MA,97,408,0,0,0,81,36.99,51,27.24,110,6.78,3,1.13,0,0
962,NJ,107,415,0,0,0,95,36.06,88,12.76,111,9.89,2,2.08,3,0
963,MO,142,415,0,1,30,75,26.18,97,14.09,83,12.15,5,2.92,1,0
964,NY,9,408,0,1,31,130,32.95,98,17.22,102,8.6,2,3.59,1,0
965,AZ,73,415,0,0,0,130,29.82,105,21.09,85,5.51,4,3.29,0,0
966,NJ,48,510,0,1,22,63,25.84,131,22.0,109,11.84,5,4.24,2,1
967,WV,43,408,0,0,0,147,39.13,121,15.87,100,5.78,3,2.48,0,0
968,NM,122,408,0,1,33,103,29.73,105,21.1,116,7.41,3,3.65,1,1
969,SC,93,415,0,0,0,68,32.33,64,22.29,92,5.85,4,2.38,0,0
970,VT,85,415,0,0,0,122,29.99,123,19.12,50,9.88,1,3.11,1,0
971,TN,59,415,0,0,0,95,27.35,65,21.35,97,12.3,5,1.35,3,0
972,LA,87,415,0,0,0,90,38.88,99,13.86,90,6.93,3,3.19,1,0
973,OH,137,408,0,0,0,90,24.48,100,15.44,93,5.76,2,3.32,0,0
974,OR,21,510,0,1,31,90,23.1,84,23.04,89,8.06,7,2.57,6,0
975,DE,129,510,0,0,0,118,56.83,104,16.33,83,8.59,6,2.81,0,1
976,KY,104,415,0,0,0,77,22.19,117,11.15,63,11.91,6,3.51,0,0
977,GA,93,408,0,1,21,105,22.81,128,13.81,90,8.4,2,3.19,4,1
978,VT,63,415,0,0,0,102,47.26,114,22.64,118,10.08,4,3.54,4,1
979,OR,161,415,0,0,0,70,17.92,122,18.26,126,10.06,5,2.11,0,0
980,TX,50,510,0,0,0,94,32.11,104,17.33,124,6.83,8,3.13,3,0
981,MO,103,408,0,1,24,85,19.01,102,20.37,81,12.07,4,1.86,1,0
982,ND,84,415,0,1,33,106,27.05,101,12.73,108,9.6,18,3.51,1,0
983,MN,92,510,0,0,0,105,36.11,118,19.09,105,9.96,4,2.43,1,0
984,NV,77,415,0,0,0,112,24.19,111,26.04,82,8.84,1,2.67,1,0
985,NY,64,415,1,0,0,55,58.96,79,21.21,102,12.39,9,3.59,1,1
986,FL,159,415,0,1,15,102,19.36,146,12.35,137,8.78,9,3.19,1,0
987,KS,110,415,1,1,27,103,45.54,74,22.38,106,8.01,2,2.24,1,1
988,NV,138,510,0,0,0,117,29.14,128,9.79,115,10.1,4,4.59,3,0
989,NV,178,408,0,0,0,150,46.82,62,15.94,126,6.62,3,3.67,1,0
990,SC,38,415,0,1,31,118,33.52,70,21.24,104,13.45,2,1.05,0,0
991,MI,50,415,0,1,35,97,32.74,101,11.49,101,9.73,2,2.13,2,0
992,MI,45,510,0,1,26,104,15.59,119,12.8,103,2.85,5,2.08,1,0
993,TN,70,510,0,0,0,99,21.47,106,12.04,96,11.52,2,2.59,0,0
994,NY,147,510,0,1,33,107,42.76,110,19.9,87,9.6,6,2.81,3,0
995,NV,94,510,0,0,0,108,32.4,95,12.95,97,6.51,5,2.03,1,0
996,IL,179,510,0,0,0,101,19.74,99,17.15,103,8.19,5,3.13,0,0
997,MS,116,415,0,0,0,91,36.94,95,18.37,76,6.66,3,3.05,2,0
998,ND,59,510,0,0,0,80,30.5,99,19.76,105,7.91,3,3.97,0,0
999,NC,165,415,0,0,0,109,35.31,94,14.01,91,2.45,3,2.13,0,0
1000,MI,133,408,0,0,0,138,47.14,117,19.41,103,5.28,4,3.46,2,1
1001,TN,140,415,0,0,0,84,21.3,121,14.25,94,11.73,4,2.27,1,0
1002,VT,93,408,0,1,32,91,23.48,72,14.22,115,10.75,3,1.84,2,0
1003,OK,52,510,0,1,38,88,28.78,97,19.2,86,7.74,3,2.21,0,0
1004,DE,64,415,0,1,27,101,34.22,89,12.22,127,6.76,3,3.32,1,0
1005,ND,12,510,1,0,0,117,36.84,126,9.9,110,9.9,4,2.65,2,0
1006,OR,48,415,0,0,0,92,32.37,85,26.99,113,6.0,4,2.24,2,0
1007,NY,181,408,0,0,0,91,24.36,58,16.62,95,10.05,7,1.62,1,0
1008,MO,168,415,0,1,42,57,16.56,98,17.31,124,7.83,2,3.08,2,0
1009,FL,155,415,0,0,0,111,30.84,92,14.25,122,7.58,3,3.05,3,0
1010,ND,105,510,0,0,0,83,41.89,101,21.78,151,7.61,4,1.03,0,0
1011,NY,11,415,0,0,0,130,24.38,50,24.6,100,8.73,6,2.62,2,0
1012,ND,182,415,0,0,0,111,17.83,120,16.87,91,11.62,5,2.16,2,0
1013,NY,104,415,0,0,0,93,26.55,54,16.41,94,10.02,5,3.54,1,0
1014,OH,102,415,0,0,0,125,19.52,126,6.96,101,13.69,4,3.24,0,0
1015,AL,122,415,0,0,0,96,39.53,120,17.47,91,9.62,2,3.21,0,0
1016,SC,41,415,0,0,0,117,24.41,108,12.95,110,8.75,3,2.32,1,0
1017,GA,132,415,0,0,0,132,30.04,80,20.75,120,7.93,4,2.46,2,0
1018,WY,76,415,0,0,0,148,44.78,69,19.58,101,7.68,5,3.08,1,1
1019,WV,13,415,0,0,0,74,24.89,92,12.62,96,9.75,3,3.05,1,0
1020,HI,115,415,0,1,33,72,24.65,157,16.53,138,10.9,3,3.83,2,0
1021,WV,67,408,0,0,0,91,28.53,69,14.25,71,4.96,12,2.27,1,0
1022,LA,154,510,0,0,0,99,28.37,97,13.17,89,8.52,5,1.94,0,0
1023,AR,100,510,0,0,0,87,24.23,88,16.63,117,5.49,8,2.11,2,0
1024,AK,146,510,1,0,0,65,22.61,93,22.34,128,9.64,3,3.02,1,0
1025,DC,148,415,0,1,11,129,42.99,88,24.17,99,11.83,1,3.32,1,0
1026,AL,67,415,0,1,28,94,16.15,73,24.75,114,7.18,2,2.7,2,0
1027,UT,161,510,1,0,0,106,33.01,105,21.2,129,11.47,1,3.48,1,1
1028,KS,70,415,0,0,0,114,37.88,113,18.35,122,10.06,0,0.0,1,0
1029,MN,116,510,0,0,0,82,34.31,95,19.68,130,10.17,5,4.46,0,0
1030,VA,99,415,0,1,42,125,36.72,104,19.75,100,9.7,4,2.51,2,1
1031,UT,87,415,0,0,0,108,24.87,102,14.6,66,7.54,9,1.43,1,0
1032,IN,87,510,0,0,0,85,39.92,91,11.98,93,9.19,5,2.57,1,0
1033,CT,70,408,0,0,0,111,33.76,115,18.18,105,7.7,6,2.86,2,0
1034,DE,131,408,0,0,0,80,16.05,101,18.28,108,8.09,9,3.54,2,0
1035,VT,119,510,0,0,0,74,32.37,113,18.33,111,7.25,1,2.7,2,0
1036,MO,119,408,0,1,32,77,24.24,126,17.7,102,7.69,2,3.24,3,0
1037,RI,87,510,1,0,0,80,22.81,71,14.03,102,7.79,5,2.89,0,0
1038,CA,112,415,0,0,0,92,19.02,143,9.69,79,6.61,3,3.81,5,1
1039,RI,75,415,0,0,0,89,20.88,104,17.96,91,11.76,2,2.89,2,0
1040,CT,150,510,0,0,0,77,32.18,105,18.78,117,10.74,5,2.48,4,0
1041,IN,161,510,0,1,38,112,40.87,102,17.15,112,9.27,6,4.35,0,0
1042,FL,91,510,1,1,24,112,15.9,128,15.59,133,10.83,3,2.67,0,0
1043,KS,124,415,0,0,0,104,26.96,77,17.95,104,8.07,8,2.75,3,0
1044,NY,94,510,1,0,0,109,41.34,88,12.5,99,4.27,4,1.94,4,0
1045,TX,217,408,0,0,0,115,29.99,128,13.5,107,13.8,3,2.51,4,0
1046,RI,158,510,0,0,0,129,37.55,108,20.59,75,10.5,5,1.73,0,0
1047,NV,102,415,0,0,0,87,24.55,128,22.65,59,9.79,7,1.92,0,0
1048,UT,85,510,0,0,0,107,36.09,103,19.41,116,7.35,3,2.08,0,0
1049,OK,79,510,0,0,0,72,24.99,102,14.08,107,10.94,9,2.27,1,0
1050,MN,139,510,0,1,25,112,16.35,70,15.21,84,8.19,10,3.48,2,0
1051,NC,103,415,0,0,0,118,44.78,69,15.22,112,9.66,2,2.78,0,0
1052,OR,98,415,1,0,0,67,2.13,90,21.81,88,7.62,9,2.08,1,0
1053,NH,78,408,0,0,0,116,27.59,86,16.35,100,10.83,3,2.73,2,0
1054,AK,50,408,0,0,0,107,31.21,118,4.98,99,9.12,3,2.35,1,0
1055,OR,161,415,0,0,0,109,30.28,86,12.45,78,6.19,2,2.3,1,0
1056,KS,67,408,0,0,0,101,34.24,122,8.3,119,9.11,3,1.89,0,0
1057,WV,86,415,0,1,38,158,20.91,119,11.38,103,6.22,4,3.59,1,0
1058,GA,92,510,0,0,0,125,35.36,76,16.91,97,3.44,6,2.32,0,0
1059,NM,174,415,0,0,0,72,40.66,124,16.02,116,4.75,3,2.38,1,0
1060,OH,124,510,0,0,0,97,32.81,99,7.63,104,7.78,3,4.13,1,0
1061,ND,132,415,0,1,31,101,29.67,105,20.88,76,7.78,9,2.78,1,0
1062,RI,190,415,0,1,26,71,19.84,88,12.4,103,7.88,3,2.67,1,0
1063,HI,101,510,0,0,0,127,15.95,104,12.75,116,10.85,2,2.89,1,0
1064,WY,185,415,1,1,30,114,26.2,106,10.09,105,11.63,3,3.48,2,0
1065,NY,68,415,0,1,29,82,40.72,105,17.32,70,7.55,6,2.67,0,0
1066,KS,117,510,0,1,25,140,36.72,69,19.05,112,12.06,4,3.19,0,0
1067,LA,118,408,0,0,0,97,31.86,89,15.11,97,10.5,6,3.29,1,0
1068,PA,124,415,0,0,0,119,28.46,143,19.82,115,4.93,5,2.78,0,0
1069,NV,22,510,0,0,0,108,27.27,88,18.54,115,8.68,4,3.38,1,0
1070,MN,75,415,0,0,0,92,24.34,142,17.77,96,7.79,9,3.21,1,0
1071,PA,134,408,0,0,0,122,34.9,155,20.44,107,8.06,9,1.35,1,0
1072,MO,164,408,0,1,25,88,37.25,99,12.88,60,2.25,6,3.86,1,0
1073,NY,44,510,0,0,0,77,24.34,114,14.43,77,9.71,4,2.05,1,0
1074,ME,177,415,0,0,0,106,39.58,97,14.89,77,9.55,7,3.38,2,0
1075,NH,110,408,0,0,0,81,27.54,89,21.04,99,7.0,8,2.4,0,0
1076,WY,53,415,0,1,27,119,4.4,96,17.55,64,10.26,7,1.76,1,0
1077,NY,108,415,0,0,0,123,26.21,86,9.55,75,11.09,4,4.16,4,1
1078,ME,80,408,0,0,0,113,54.79,95,18.87,123,7.33,8,1.81,0,1
1079,MN,158,408,0,0,0,112,35.68,82,18.81,93,9.45,3,2.21,1,0
1080,OH,114,415,0,0,0,88,32.56,78,14.89,118,9.91,0,0.0,0,0
1081,NC,64,408,0,1,19,150,49.49,123,19.27,67,9.86,2,2.03,1,0
1082,SD,88,415,0,0,0,115,36.65,85,18.38,65,7.71,1,3.19,3,0
1083,UT,82,510,1,0,0,101,35.5,87,18.16,86,7.88,6,3.35,3,0
1084,KY,111,415,0,0,0,97,43.5,129,17.35,84,7.71,5,3.32,3,0
1085,MT,60,408,0,0,0,97,42.96,121,18.79,100,4.95,4,3.35,2,0
1086,NJ,113,408,0,0,0,72,22.46,107,21.04,123,11.08,6,1.86,3,0
1087,FL,109,408,0,0,0,115,36.89,142,17.6,106,12.06,4,2.21,1,0
1088,IN,105,510,0,1,42,79,17.32,97,18.96,77,10.87,2,3.48,0,0
1089,DE,85,510,0,0,0,100,35.96,88,15.69,131,7.39,4,3.59,2,0
1090,AL,131,510,0,0,0,86,26.08,81,16.87,83,7.4,3,2.81,0,0
1091,ME,59,510,0,0,0,95,28.27,87,20.34,108,5.54,3,2.7,2,0
1092,SD,148,408,0,0,0,87,31.48,96,14.48,104,7.43,13,2.57,1,0
1093,VA,210,408,0,0,0,121,17.78,71,12.71,67,11.48,8,1.76,2,0
1094,AK,115,415,0,0,0,105,41.68,109,13.52,74,10.35,8,1.94,0,0
1095,ID,106,510,0,0,0,120,46.65,82,16.88,62,7.24,3,1.62,1,0
1096,RI,93,415,0,0,0,78,16.73,129,21.22,114,11.17,4,3.83,1,0
1097,KY,57,415,0,1,29,121,47.58,109,18.96,94,11.33,2,3.51,1,0
1098,ND,98,510,0,0,0,127,31.82,88,16.63,129,8.18,4,1.38,1,0
1099,HI,157,415,0,0,0,95,46.95,119,14.09,79,6.82,4,0.59,3,0
1100,WI,116,415,0,1,35,104,34.07,89,23.19,100,9.65,4,2.24,1,0
1101,WV,30,510,0,0,0,96,27.59,122,20.74,89,8.1,4,2.46,2,0
1102,NJ,111,510,0,0,0,128,30.07,56,8.74,84,9.62,2,2.84,4,1
1103,KS,52,415,0,0,0,78,28.14,89,17.47,124,9.61,6,3.29,0,0
1104,AL,72,415,0,0,0,93,37.03,113,16.12,91,8.22,5,2.81,4,0
1105,NJ,135,510,0,1,28,100,34.24,117,20.95,131,6.97,4,3.48,2,1
1106,NC,86,510,0,0,0,115,32.39,130,15.27,89,11.63,5,2.73,3,0
1107,DE,98,415,0,1,29,97,30.58,89,16.08,76,7.39,7,3.46,3,0
1108,WY,151,510,0,0,0,104,40.1,91,6.85,116,9.58,2,1.57,3,0
1109,ID,118,415,0,0,0,112,23.87,60,15.9,155,9.36,1,2.13,0,0
1110,NY,117,415,0,0,0,115,24.58,66,22.0,113,11.39,9,2.0,2,0
1111,MO,55,510,0,0,0,100,32.13,99,10.07,87,11.16,6,4.62,0,0
1112,ID,82,408,0,0,0,93,17.17,104,13.23,93,13.7,2,3.59,0,0
1113,IA,152,415,0,0,0,98,35.07,82,24.89,121,1.97,4,2.86,1,0
1114,TN,108,408,0,1,15,85,28.07,93,22.7,114,11.28,4,2.94,1,0
1115,OH,98,408,0,0,0,129,28.05,113,17.22,94,7.75,7,3.38,1,1
1116,IL,130,415,0,0,0,95,26.5,97,21.77,103,11.83,3,3.16,3,0
1117,FL,136,408,1,0,0,122,33.86,114,18.25,105,6.79,7,3.19,1,0
1118,MA,47,415,0,0,0,116,26.4,85,16.0,73,11.12,4,3.32,3,0
1119,OK,189,415,0,0,0,106,35.41,123,20.12,120,8.06,5,3.05,3,0
1120,KY,107,415,0,0,0,79,26.71,124,13.82,138,6.75,6,3.27,1,0
1121,MI,91,415,0,0,0,165,26.25,121,14.31,81,10.8,4,3.16,5,1
1122,NE,159,415,0,0,0,105,32.15,147,20.92,106,10.89,5,2.81,1,1
1123,VA,11,408,0,1,24,98,22.36,111,19.57,87,12.77,3,2.7,2,0
1124,NY,167,415,0,0,0,85,28.29,135,20.67,95,10.31,5,2.67,1,0
1125,MT,111,408,0,0,0,75,24.19,106,10.44,94,10.33,9,3.46,2,0
1126,VT,99,408,0,1,19,103,14.91,86,18.96,112,8.2,4,1.97,2,0
1127,KS,159,415,0,1,19,78,31.3,71,16.53,101,10.15,3,4.56,0,0
1128,VA,114,415,1,1,31,104,29.67,92,19.06,91,5.23,10,3.32,2,0
1129,AL,71,415,0,0,0,103,17.56,79,11.77,98,7.42,2,2.43,2,0
1130,PA,122,415,0,0,0,62,5.97,89,15.37,58,11.32,2,3.43,1,0
1131,AL,100,408,0,1,25,94,41.92,112,12.02,109,8.54,5,3.51,1,0
1132,WV,83,415,0,1,37,109,13.35,101,17.89,102,8.09,4,3.19,1,0
1133,NV,64,408,0,0,0,73,25.18,101,14.02,125,9.72,2,3.32,5,1
1134,TN,105,408,0,0,0,84,35.05,138,21.79,91,5.27,3,2.43,1,0
1135,ID,144,415,0,1,33,87,42.77,118,16.8,97,9.41,3,3.29,2,0
1136,WY,106,415,1,1,26,111,45.95,90,18.29,133,11.43,7,3.89,1,1
1137,TX,19,510,0,1,34,97,26.62,97,19.06,135,11.74,1,3.05,1,0
1138,MA,46,408,0,0,0,81,23.7,113,19.01,77,7.79,6,3.67,1,0
1139,IL,127,510,0,0,0,108,37.43,124,16.01,113,7.77,3,3.16,2,0
1140,LA,9,415,0,1,39,108,36.4,115,14.38,117,8.54,3,2.73,1,0
1141,CO,157,415,0,0,0,74,33.32,96,18.14,81,8.86,6,2.13,1,0
1142,UT,105,415,0,0,0,71,18.09,83,20.41,114,6.65,4,1.43,6,1
1143,MI,105,415,0,1,29,113,30.5,100,23.41,105,11.07,5,2.7,0,0
1144,NH,155,408,0,0,0,30,36.84,125,12.27,106,6.09,1,2.92,2,0
1145,ID,31,415,0,0,0,129,30.14,105,12.99,92,7.33,2,1.38,0,0
1146,WA,161,415,0,0,0,117,25.77,87,18.65,68,10.11,5,1.08,1,0
1147,MN,95,408,0,1,32,123,44.57,82,14.04,57,8.74,5,2.86,0,0
1148,NY,122,415,0,0,0,110,29.51,84,7.79,103,9.53,7,2.62,3,0
1149,MD,37,415,1,0,0,76,18.12,89,12.53,113,10.61,8,2.59,2,0
1150,GA,132,415,0,0,0,106,32.86,94,10.91,119,7.29,4,3.13,5,1
1151,HI,119,408,0,1,24,94,36.92,52,11.79,85,6.27,4,3.05,0,0
